store_id,store_name,restaurant_type,city
aax2,Dastor Khana,Bangladeshi,Dhaka
ab7w,Birria Stop,Mexican,Dhaka
abdm,The Hot Dog Company,Fast Food,Dhaka
abfx,Golpotola Masum Chotpoti Fuchka & Juice Bar,Juice Corner,Dhaka
abhr,Nishi Dine,Bangladeshi,Dhaka
abjv,Dhaka Kacchi Dine,Bangladeshi,Jamalpur
abp3,Wrap & Roll,Wraps,Dhaka
abxx,New Orient Restaurant,Bangladeshi,Chittagong
ac3z,Coffee Break Cafeteria & Kebabs,Rice Dishes,Dhaka
ac5v,Fresh Food Corner,Chinese,Gazipur
acej,Eat & Meet,Bangladeshi,Gazipur
acjv,Rista Food,Bangladeshi,Dhaka
ackf,Orient,Bangladeshi,Chittagong
acpw,Shiraj Chui Gosto,Bangladeshi,Bogra
act0,Bindu,Cafe,Dhaka
ad95,Jashore Kitchen,Bangladeshi,Dhaka
ad9f,Bismillah Home Kitchen,SNAcks,Chittagong
adk6,Momo Station Bd,Fast Food,Dhaka
adzq,Dine A Chaap,Kebab,Dhaka
aekd,Sumi Kitchen,Curry,Tangail
aewx,Waffle Shop,Dessert,Dhaka
af1e,Caffeaten,Pizza,Dhaka
af3n,Cafe Mirchi,Fast Food,Dhaka
af6r,Hotel New Zaman & Biryani House,Bangladeshi,Chittagong
afa5,Nurjahan Food Corner,Bangladeshi,Dhaka
afie,Amish Niramish,Bangladeshi,Dhaka
afnu,Golden Cafe,Cafe,Gazipur
ag0t,Nujhat'S Kitchen,Bangladeshi,Dhaka
ag3d,Friend Shop 360,Bangladeshi,Khulna
agb3,Zeppin Bakery,Dessert,Dhaka
agiz,Jhoha Agro & Dairy,Sweets,Dhaka
aglk,Habiba'S Kitchen (Pandago),Healthy,Feni
agmr,Sweet Nation,Dessert,Dhaka
agnk,Durus,Bangladeshi,Dhaka
ah4l,Chattala Heshel,Bangladeshi,Chittagong
ah56,Naga Fuchka,Chotpoti & Fuchka,Dhaka
ahij,Rafiul'S Kitchen,Bangladeshi,Dhaka
ahiw,Ahnaf'S Kitchen,Bangladeshi,Gazipur
ahle,Food Temptation,Pizza,Sylhet
ahrw,Choco Box,Bangladeshi,Dhaka
ahwj,Nandan Food Point,SNAcks,Dhaka
ai4l,Kazi'S Kitchen,Bangladeshi,Dhaka
aicf,Allahr Dan Biriyani House,Biryani,Dhaka
aifl,Arshan'S,Beverage,Dhaka
aii7,Luna'S Waffle Club,Dessert,Rangpur
aij9,Burger Stand,Burgers,Dhaka
aioo,Cliqnpay,Bangladeshi,Dhaka
aiq2,Chef House Kitchen,Fast Food,Rajshahi
aiwz,Bangali Bhoj,Bangladeshi,Dhaka
aj00,Fry Bucket,Fried Chicken,Dhaka
aj7b,Mithai,Dessert,Comilla
aj8p,Pure Dairy Farm Sweets & Bakery,Sweets,Dhaka
ajg2,Foodie Mudi,Burgers,Dhaka
ajmx,Kacchi Bhai,Biryani,Khulna
ajn6,Pizzeria,Pizza,Dhaka
ajnu,Xoss Snacks,SNAcks,Dhaka
ak4k,Fuchka Express,SNAcks,Dhaka
akcq,Dallas Express,Fast Food,Dhaka
akp0,Kacchi Bhai,Rice Dishes,Faridpur
akqr,Onfire,Rice Dishes,Dhaka
akt1,Fresh Food Corner,Chinese,Gazipur
al1x,Amar Rannaghor,Asian,Dhaka
al53,Tasty Land,Fast Food,Dhaka
al6g,Domino'S Pizza Gec,Pizza,Chittagong
al6q,Alif Food Zone,Bangladeshi,Faridpur
al6z,Setara Cafe,Bangladeshi,Gazipur
alcb,Food Zone,Chinese,Jamalpur
alf2,Masha Allah Chinese & Fast Food,SNAcks,Khulna
aljd,Tasty Treat,Dessert,Gazipur
aljz,Islam Food Corner,Rice Dishes,Dhaka
alow,Marzia'S Kitchen,Fast Food,Mymensingh
alzd,Thamel Momo Hut,Dumpling,Dhaka
am1j,Kacchi Bondhu,Biryani,Dhaka
am45,Royal Spice Restaurant,SNAcks,Chittagong
am9j,Cox Carnival,Biryani,Cox'S Bazar
amds,Pandago Ob,Bangladeshi,Bogra
ampj,Kabab Gallery,Bangladeshi,Gazipur
an0i,Akboria Midway,Curry,Bogra
an0u,Hello Dine,Bangladeshi,Dhaka
an3p,Gorba,Bangladeshi,Chittagong
an57,House Of Nolli & Kebab,Kebab,Dhaka
ancq,Magic Italy,Beverage,Dhaka
anne,Momos By 7Dayz,SNAcks,Chittagong
ano9,The Olive Lounge,Soups,Dhaka
ansu,Umm Cafe,SNAcks,Dhaka
anu5,Aynamoti Kitchen,Fast Food,Dhaka
anve,Peace Of Pieces,Dumpling,Dhaka
anxe,Home Chef,Bangladeshi,Dhaka
anyd,Snackbudd,Chicken,Dhaka
ao0n,Movenpick,Ice Cream,Dhaka
ao54,Heshel Ghor,Bangladeshi,Dhaka
ao57,Waffle Choco,Dessert,Dhaka
aoat,Nababi Cloud Kitchen,Bangladeshi,Mymensingh
aob3,Cheesy Dough,Pizza,Dhaka
aogs,Akboria Misty Mela,Fast Food,Bogra
aoii,Washoku,Japanese,Dhaka
ap1e,Tehari & Polao Ghor,Biryani,Dhaka
ap6h,Kacchi Deluxe,Rice Dishes,Dhaka
apbw,Hot Box,Bangladeshi,Dhaka
apgn,King Fisher,Bangladeshi,Comilla
apil,The Red Window,Fast Food,Dhaka
apnn,J. F Restaurant And Biryani House,Bangladeshi,Jhenaidah
apnu,Turkish Kebab & Fast Food,NA,Gazipur
apps,Sultan'S Dine,Biryani,Savar
apvw,Hotel Grand Park Barisal,SNAcks,Barisal
apw9,Spice Klub,Chinese,Mymensingh
aq12,Dana Live Bread Factory,Bangladeshi,Dhaka
aq57,Ma Catering Service,Curry,Dhaka
aqc5,Yummy Bite Cake House,Cakes,Dhaka
aqdp,Nihariwala,Curry,Dhaka
aqkn,New Nanna Biryani House,Biryani,Dhaka
aqsc,Aliza'S Home Kitchen,Bangladeshi,Dhaka
ar6y,Utshob,Bangladeshi,Dhaka
arjf,Nababi Dine,Fast Food,Sirajganj
arx5,Kacchi Kitchen,Rice Dishes,Dhaka
aryp,Haji Biryani House,Rice Dishes,Chittagong
aryr,Little Westin,Chinese,Feni
as3z,Shorshe Tehari,Biryani,Dhaka
as9y,Daily Detox,SNAcks,Dhaka
asce,Kureghor,Bangladeshi,Chittagong
aslm,Bhai Bhai Hotel & Restaurant,Bangladeshi,Dhaka
asvc,Farhana'S Cuisine,SNAcks,Dhaka
asyy,Casa Del Pizza,Pizza,Dhaka
at2g,Sassy Slice By 6Ix9,Pizza,Dhaka
at6l,Live Shawarma House,Shawarma,Khulna
atas,Zaar,Bangladeshi,Dhaka
atcb,Shei Shaad,SNAcks,Bogra
atmp,Ti,Chinese,Dhaka
atr4,Casper'S,Japanese,Dhaka
attf,Shokher Ranna Ghar,Curry,Dhaka
atu5,Classic Fried Chicken,Fried Chicken,Dhaka
atyu,Donerci,Wraps,Dhaka
atzj,Dragon Street,Fast Food,Dhaka
au13,Emotion,Fast Food,Dhaka
au29,Bahari Food,Bangladeshi,Tangail
au3f,Hot Spring Kitchen,Beverage,Dhaka
aud0,MirS Kitchen,Fast Food,Dhaka
aup9,Waffle Maffle,Dessert,Dhaka
av3v,Caf Azaan,Fast Food,Dhaka
av4q,Edge Cafe,Fast Food,Dhaka
av6m,Awake Coffee Roasters,Cafe,Dhaka
av77,Khichuri Kings,Rice Dishes,Dhaka
avnd,Mom'S Cook,Bangladeshi,Dhaka
avq5,Pritom Burger,Burgers,Dhaka
avsb,Shanchayita,Rice Dishes,Dhaka
avx4,Niribily Hotel & Restaurant,Bangladeshi,Dhaka
avya,Mellow Bite,Dessert,Gazipur
avzp,The Pizza Co.,Pizza,Chittagong
avzx,Mokja,Japanese,Dhaka
aw11,Rosuibahar,SNAcks,Dhaka
aw14,Khichuri Ghor,SNAcks,Dhaka
aw2s,The Cafe Rio,SNAcks,Dhaka
awdz,Joba'S Kitchen,Bangladeshi,Dhaka
awej,Pizza Factory,Pizza,Jessore
awgm,Tasty Treat,Dessert,Sirajganj
awii,Khadok,SNAcks,Rajshahi
awll,Waffle Time CoxS Bazar,Dessert,Cox'S Bazar
awtg,Tiffinbox,SNAcks,Dhaka
ax37,Hungry Express Cafe,Cafe,Dhaka
axcg,Berlin Box,Fast Food,Dhaka
axii,Crush Station,Fast Food,Dhaka
axm1,Food Lovers & Kacchi Bhai,Biryani,Rajshahi
axr1,Rumi'S Kitchen,Bangladeshi,Dhaka
axw1,Alif Burger Delicious,Burgers,Dhaka
ay20,Mute Burger,Burgers,Dhaka
ay2y,Al Sadia Restaurant,Bangladeshi,Tangail
ay7h,Mr. Kacchi Bari,Biryani,Dhaka
ayjj,Brio: Italian Restaurant,Cafe,Dhaka
ayqg,Muslim Biryani,Biryani,Khulna
ayv4,Cafe Mango,Fast Food,Dhaka
ayxq,Jol Torongo,Seafood,Dhaka
bg9c,Rich Cat,Bangladeshi,Dhaka
az3w,Afghani Nehari Ghar Sea Food & Kabab House,Seafood,Dhaka
az46,Kebab Ghar,Kebab,Dhaka
azbr,Friend'S Kebab Corner,Kebab,Dhaka
azdb,Sazia'S Cooking & Creativity,SNAcks,Dhaka
azin,Subero,Fast Food,Chittagong
azod,Hasina'S Kitchen,Bangladeshi,Chittagong
azof,Sandra Bakery Bashundhara,Bakery,Dhaka
b03d,Migdolas Restaurant And Bistro,Fast Food,Chittagong
b06j,Nobboi Bari Fuchka & Chotpoti,Chotpoti & Fuchka,Tangail
b0ad,Shirin'S Home Made Food,NA,Dhaka
b0dk,Cafe Di Seul,Fast Food,Tangail
b0du,Pizza Xo,Fast Food,Dhaka
b0h9,Arunika,Bangladeshi,Dhaka
b0jv,Steak & Sausage,SNAcks,Dhaka
b0oi,Waffle O!,Dessert,Khulna
b0or,Pizza'S Point,Pizza,Sylhet
b0to,Onnopuron,Rice Dishes,Dhaka
b12z,Leehar Arabian Restaurant,Middle Eastern,Dhaka
b1la,Momo Blast,Dumpling,Dhaka
b1s9,The Green Lounge,Chinese,Dhaka
b22k,Cp Five (Patipata),Chicken,Dhaka
b2dn,Tazin Kitchen,Rice Dishes,Savar
b2e9,Aandaaz,Indian,Dhaka
b2fp,Villa Azzur,Thai,Dhaka
b2gp,Ava'S Cooks Corner,SNAcks,Chittagong
b2m1,Gen,SNAcks,Dhaka
b2vv,Dfc(Dhakaiya Fried Chicken),Burgers,Dhaka
b2zo,Fuchka Wala,Chotpoti & Fuchka,Dhaka
b37l,The Panshi Restaurant,Bangladeshi,Dhaka
b38e,Cibo Express,SNAcks,Dhaka
b3f2,Waffle On,Dessert,Savar
b3kh,Khabar Chai,Bakery,Chittagong
b3sa,Tasty Creation,Bangladeshi,Chittagong
b3u5,Coffee Line,Cafe,Dhaka
b3wi,Little Bites Cafe,Fast Food,Dhaka
b41r,Waffle Up,Dessert,Dhaka
b448,Nobab Biryani House,Biryani,Dhaka
b4n2,The Attic,SNAcks,Barisal
b555,Pizza Best,Pizza,Dhaka
b57l,Bakers Plus,Bakery,Dhaka
b5jj,Awesome Fuchka Bazar,Chotpoti & Fuchka,Dhaka
b5q1,Pizza Factory Ctg,Pizza,Chittagong
b5tg,Biteful,Bangladeshi,Dhaka
b5ui,Molla Chotpoti & Fuchka,Chotpoti & Fuchka,Dhaka
b5yl,Pandago Ob,Bangladeshi,Meherpur
b607,King'S Restora,Bangladeshi,Dhaka
b62h,Foodie Land,SNAcks,Savar
b641,Korean Bbq House,NA,Dhaka
b64j,Shamima'S Kitchen,Rice Dishes,Dhaka
b6g4,Beef House,Bangladeshi,Dhaka
b6i3,Garden Ship Restaurant & Convention Hall,Curry,Dhaka
b6i9,Zen,Fast Food,Dhaka
b6ox,S S Kitchen,Fast Food,Bogra
b6xy,Big Burger,Fast Food,Mymensingh
b79j,Pizza Forever,Pizza,Rajshahi
b7co,Basanta Kebin,Bangladeshi,Dhaka
b7lg,Smiths Caffe Regalo,Cafe,Dhaka
b7sm,Chillox,Burgers,Dhaka
b7x7,Butter,Dessert,Dhaka
b7zj,Tamjid And Wajid Food House,Bangladeshi,Sylhet
b82z,Frypan,Fast Food,Dhaka
b8gj,Epicurean Fast,Fast Food,Dhaka
b8hj,Jfr'S Kitchen House,SNAcks,Chittagong
b8lp,Shawarma Burger City,SNAcks,Dhaka
b8p9,Fatema'S Kitchen (Pandago),Healthy,Jamalpur
b8q1,Bangkok,Rice Dishes,Dhaka
b8xw,Bd Naga Fuchka House,Chotpoti & Fuchka,Dhaka
b8zq,Fuzzy Eats,SNAcks,Chittagong
b9q7,Special Food Kitchen,Bangladeshi,Dhaka
b9w2,Cafe Comilla,Chotpoti & Fuchka,Comilla
ba49,Cup & Cozy,Beverage,Dhaka
ba5r,Bangla Khabar Restaurant,Bangladeshi,Tangail
ba6z,Captain Cafe,Chotpoti & Fuchka,Faridpur
ba8z,Family Kitchen And Kabab Biryani,Bangladeshi,Dhaka
baft,Stallo Fried Chicken,Fried Chicken,Dhaka
bamg,Zahir'S Cafeteria,SNAcks,Sylhet
bamo,Baithakkhana Restaurant,Curry,Sylhet
bat8,Fries,Burgers,Chittagong
bb9c,Food Terminal,Fast Food,Dhaka
bbf1,Cartel,Italian,Dhaka
bbvp,The Darjeeling Express,Indian,Dhaka
bbya,Deshi Bhorta Bari,Bangladeshi,Dhaka
bc5o,Hungry King,Chinese,Dhaka
bc79,Shahi Tehari,Rice Dishes,Chittagong
bc81,Mithai,Dessert,Barisal
bcdj,Pizza Lo,Pizza,Chittagong
bce5,Ghoroya Kitchen,Dumpling,Dhaka
bcer,Cafia,Fast Food,Dhaka
bchu,Coffee Express,Fast Food,Dhaka
bci6,Thali,Fast Food,Rajshahi
bcjg,Six Sister'S Kitchen,Dessert,Dhaka
bcnh,Kasturi Kacchi,Rice Dishes,Dhaka
bcxj,Faridpuriyan Doi Chira,SNAcks,Faridpur
bd1d,Bismillah Biryani House,Biryani,Dhaka
bd3d,Grill Garden Restaurant & Convention Hall,Chinese,Savar
bdap,Le Bakehouse,Western,Chittagong
bden,The Ritz Bistro,Fast Food,Chittagong
bdho,Fuchka Khai,Chotpoti & Fuchka,Khulna
bdte,Food Studio By Rozy,SNAcks,Dhaka
bdw7,Fry Day,SNAcks,Dhaka
be76,Wok Way,Chinese,Sylhet
be7l,Nahar'S Kitchen,Bangladeshi,Dhaka
beai,Ammur Ranna,Rice Dishes,Dhaka
bebx,Badhon Banquet Bistro,Chinese,Rangpur
beds,Traditional Food Bd,Bangladeshi,Dhaka
begg,Baked By Jaifrin,Dessert,Dhaka
bejg,Say Bismillah,SNAcks,Dhaka
beqg,Ahar Ghor,SNAcks,Dhaka
bevc,The Gourmet Chef,Burgers,Dhaka
bf0d,Burger Boy,Burgers,Dhaka
bf2g,Chompstar,Fast Food,Dhaka
bf6h,Abesh Hotel & Biryani House,Bangladeshi,Dhaka
bf88,Oriental Beauty,Bangladeshi,Comilla
bfga,Magriba Fast Food & Cafe,Fast Food,Dhaka
bfrw,Food Heaven,Fast Food,Moulvibazar
bg41,Buzz Bites,Fast Food,Chittagong
bg84,Fuchka Mama,Chotpoti & Fuchka,Dhaka
bgat,New Cafe Bismillah Biryani House,Biryani,Dhaka
bgmd,Star Bakery,Bakery,Dhaka
bgst,Brew Buddies,Beverage,Dhaka
bgw6,Joe'S Pizza,Pizza,Dhaka
bh0m,Ding Dong Fast Food,Fast Food,Dhaka
bh7f,Nababi Restaurant,Bangladeshi,Mymensingh
bhdy,Blind Spoon,SNAcks,Barisal
bhjr,Dreamerz Dine,Fried Chicken,Dhaka
bhob,Pizza Dine,Fast Food,Gazipur
bhou,Bangali Hashal,Bangladeshi,Dhaka
bhpu,River Garden,Fast Food,Jhenaidah
bhtq,Kudos,Fast Food,Dhaka
bhxz,Oven Story,Fast Food,Dhaka
bi03,Dine In Bus,SNAcks,Sylhet
bi1m,Cafe Bonanza,Pasta,Dhaka
bi24,Pasta Club,Pasta,Cox'S Bazar
bi3w,Homemade By Habiba,Bangladeshi,Dhaka
bi6i,Dipu'S Home Dine,Curry,Naogaon
bijm,Dhakai Biryani House,Biryani,Comilla
bimd,Dokhina Kitchen,Rice Dishes,Dhaka
bip0,Karujog,Bangladeshi,Kushtia
bitq,Smd Kebab Corner And Restaurant,Kebab,Dhaka
bixm,Star Bakery,Cakes,Dhaka
bj2n,Shahi Khabar,Bangladeshi,Chittagong
bj5v,Taste Of Lanka,NA,Dhaka
bk19,Amar Rannnagor Bd,Bangladeshi,Dhaka
bk30,Ambrosia Food Bank & Convention Hall,Rice Dishes,Dhaka
bk36,Molla Bhorta House,Bangladeshi,Dhaka
bk46,Nur Kitchen,SNAcks,Chittagong
bk4j,Gapush Gupush Fast Food & Restora,Fast Food,Barisal
bk4o,The Cafe Rio,SNAcks,Dhaka
bk5i,Instafresh Farms Ltd.,Bangladeshi,Dhaka
bk63,Aarash,Fast Food,Dhaka
bk9c,Avanza,Bangladeshi,Dhaka
bkdc,Fuchka Bhai,Chotpoti & Fuchka,Dhaka
bkos,Js Catering,SNAcks,Dhaka
bkt2,Mama Chotpoti House,Chotpoti & Fuchka,Dhaka
bkw1,Secret Recipe (Standard),Cafe,Dhaka
bl8z,Dhakaiya Kacchi,Biryani,Dinajpur
bldm,Jasim Mama Chotpoti And Fuchka,Chotpoti & Fuchka,Dhaka
blgk,Boithak Khan,Bangladeshi,Brahmanbaria
blk1,Momos Hut,Dumpling,Sylhet
blqj,Bengal Delight,Bangladeshi,Chittagong
blrf,Flavor Pocket Food Court,SNAcks,Rangpur
bm7c,Sokher Ranna Ghor,Dumpling,Dhaka
bmg3,Rannaghor,Bangladeshi,Dhaka
bmlt,Pizza & Dumpling,Pizza,Dhaka
bmx0,Tokyo Corner,Japanese,Dhaka
bn8h,Oven Pizza & Tacos,SNAcks,Gazipur
bnau,Cooper'S Express,Dessert,Chittagong
bneh,Japanese Sushi House,Japanese,Dhaka
bo1x,Cafe Nobab,Bangladeshi,Chittagong
bo44,Happy Kitchen,SNAcks,Chittagong
bo6d,New Jamalpur Pizza & Sea Food Chincse Restaurant,Rice Dishes,Jamalpur
bo8t,Uzzal Hotel And Restaurant,Bangladeshi,Dhaka
bo8z,Food Festive,SNAcks,Khulna
boby,Culinary Alchemy,Rice Dishes,Chittagong
boqs,Picky EaterS,SNAcks,Dhaka
boyq,Aharnama,Fast Food,Dhaka
bp99,Tasty Treat,Dessert,Comilla
bpct,Tease By Picnic Banani,Bangladeshi,Dhaka
bpsw,Mina'S Ranna Ghor,SNAcks,Dhaka
bpz9,Pizzarello.Com,Pizza,Dhaka
bq0u,Bangla Benjon,Bangladeshi,Dhaka
bq50,Nasta Bari,Cakes,Gazipur
bq6g,Khadok Ghor,Fast Food,Barisal
bq89,Lipi'S Dine,Bangladeshi,Chandpur
bqbe,Runa Kitchen,Bangladeshi,Dhaka
bqd3,Fuchkawala,Chotpoti & Fuchka,Chittagong
bqen,Lutfa Kitchen,Bangladeshi,Kishoreganj
bqq2,Pizza Pro Max,Pizza,Khulna
bqq4,Huaxing Chinese Food,Chinese,Dhaka
bquu,Homeside Kitchen,Bangladeshi,Dhaka
br00,The Centro,Fast Food,Chittagong
br0l,Afgani Special Kacchi & Biriyani House,Rice Dishes,Dhaka
br1p,Cp Five Star,Meat,Bogra
br2z,Waffle Vibes,Dessert,Sirajganj
bril,Restaurant Saki,SNAcks,Chittagong
brmy,Special Bhorta Ghor,Bangladeshi,Dhaka
brt4,Baharat Middle Eastern,Middle Eastern,Chittagong
brzd,So Juicy,Juice Corner,Sylhet
bs3l,Bhooter Goli,Fast Food,Tangail
bs3n,Non,Bangladeshi,Dhaka
bsq7,Pet Emporium,NA,Dhaka
bsqs,Coffee Buzz,Beverage,Dhaka
bswo,Ubique Collections,Bangladeshi,Dhaka
btcj,Rahmat Biryani & Kacchi Express,Bangladeshi,Dhaka
btds,Al,Fast Food,Dhaka
btgo,Ayra Kitchen,Bangladeshi,Dhaka
btu1,Rida'S Kitchen,Bangladeshi,Dhaka
btyr,Tuk Tuk Thai,Rice Dishes,Dhaka
bu1e,Dumpling Dynasty,Dumpling,Dhaka
bu2p,Indian Spicy Chicken,Indian,Dhaka
bu48,Cafe Food Island,Fast Food,Dhaka
bu4l,Food Fiesta,SNAcks,Rajshahi
bu4x,Waffle Square,Dessert,Dhaka
bu62,Gourmet Burger,Burgers,Dhaka
bu9d,Persian Platter,Rice Dishes,Dhaka
bua7,Khabar Bari Hotel & Restaurant,SNAcks,Dhaka
buq8,Kitchen Doll,Rice Dishes,Comilla
butl,New Hazi Biryani,Bangladeshi,Chittagong
buuo,Burger & Beyond,Burgers,Dhaka
buxr,Kosturi Restora,Bangladeshi,Rangpur
buzl,Baburchi Biryani House,Rice Dishes,Rajshahi
buzw,Azans Food And Flavour,Pizza,Dhaka
bv00,Pookie Hash,Rice Dishes,Dhaka
bvf1,Doughdash,Pizza,Dhaka
bvoo,Arkan Kitchen,SNAcks,Chittagong
bw1o,The Way Dhaka,NA,Dhaka
bw9k,Jalalabad Hotel & Restaurant,Bangladeshi,Chittagong
bway,Galore Of Seoul & Tokyo,Japanese,Dhaka
bwko,Tanni'S Kitchen,Bangladeshi,Dhaka
bwls,Coco Cafe,Beverage,Dhaka
bwm7,Pizzarian Bd,Pizza,Dhaka
bwnm,Desserto,SNAcks,Dhaka
bwvc,Sohana Varieties Store,Bangladeshi,Rajshahi
